Stock Price CAGR,Stockname,Stock Price CAGR.1
10 Years,SUNPHARMA,7%
5 Years,SUNPHARMA,33%
3 Years,SUNPHARMA,31%
1 Year,SUNPHARMA,54%
10 Years,TATACONSUM,22%
5 Years,TATACONSUM,35%
3 Years,TATACONSUM,13%
1 Year,TATACONSUM,43%
10 Years,TATAELXSI,37%
5 Years,TATAELXSI,61%
3 Years,TATAELXSI,13%
1 Year,TATAELXSI,-3%
10 Years,TATAINVEST,27%
5 Years,TATAINVEST,50%
3 Years,TATAINVEST,68%
1 Year,TATAINVEST,140%
10 Years,TATAMOTORS,8%
5 Years,TATAMOTORS,56%
3 Years,TATAMOTORS,55%
1 Year,TATAMOTORS,78%
10 Years,TATAPOWER,16%
5 Years,TATAPOWER,49%
3 Years,TATAPOWER,47%
1 Year,TATAPOWER,80%
10 Years,TATATECH,%
5 Years,TATATECH,%
3 Years,TATATECH,%
1 Year,TATATECH,%
10 Years,TCS,14%
5 Years,TCS,15%
3 Years,TCS,7%
1 Year,TCS,31%
10 Years,TECHM,11%
5 Years,TECHM,19%
3 Years,TECHM,4%
1 Year,TECHM,31%
10 Years,TIINDIA,%
5 Years,TIINDIA,63%
3 Years,TIINDIA,47%
1 Year,TIINDIA,44%
10 Years,TITAGARH,42%
5 Years,TITAGARH,105%
3 Years,TITAGARH,144%
1 Year,TITAGARH,125%
10 Years,TITAN,26%
5 Years,TITAN,26%
3 Years,TITAN,22%
1 Year,TITAN,13%
10 Years,TORNTPHARM,24%
5 Years,TORNTPHARM,32%
3 Years,TORNTPHARM,30%
1 Year,TORNTPHARM,69%
10 Years,TRENT,50%
5 Years,TRENT,69%
3 Years,TRENT,93%
1 Year,TRENT,229%
10 Years,TVSMOTOR,31%
5 Years,TVSMOTOR,48%
3 Years,TVSMOTOR,70%
1 Year,TVSMOTOR,94%
10 Years,UBL,10%
5 Years,UBL,8%
3 Years,UBL,10%
1 Year,UBL,30%
10 Years,UNITDSPR,11%
5 Years,UNITDSPR,19%
3 Years,UNITDSPR,25%
1 Year,UNITDSPR,41%
10 Years,UNOMINDA,57%
5 Years,UNOMINDA,49%
3 Years,UNOMINDA,46%
1 Year,UNOMINDA,85%
10 Years,VBL,%
5 Years,VBL,58%
3 Years,VBL,75%
1 Year,VBL,58%
10 Years,VINATIORGA,26%
5 Years,VINATIORGA,15%
3 Years,VINATIORGA,3%
1 Year,VINATIORGA,14%
10 Years,MANYAVAR,%
5 Years,MANYAVAR,%
3 Years,MANYAVAR,%
1 Year,MANYAVAR,-8%
10 Years,VOLTAS,20%
5 Years,VOLTAS,20%
3 Years,VOLTAS,16%
1 Year,VOLTAS,90%
10 Years,WESTLIFE,9%
5 Years,WESTLIFE,23%
3 Years,WESTLIFE,14%
1 Year,WESTLIFE,-13%
10 Years,WIPRO,10%
5 Years,WIPRO,15%
3 Years,WIPRO,-6%
1 Year,WIPRO,25%
10 Years,YASHO,%
5 Years,YASHO,71%
3 Years,YASHO,45%
1 Year,YASHO,3%
10 Years,ZENTEC,65%
5 Years,ZENTEC,98%
3 Years,ZENTEC,174%
1 Year,ZENTEC,104%
